Player,Pos,Ht,Wt
Chris Hunter,F,210.82,108.86
De'Andre Hunter,F,200.66,102.06
Les Hunter,F-C,200.66,95.25
Lindsey Hunter,G,187.96,77.11
Othello Hunter,F,203.2,102.06
R.J. Hunter,G,195.58,83.91
Steven Hunter,C,213.36,99.79
Vince Hunter,F,203.2,94.35
Bobby Hurley,G,182.88,74.84
Roy Hurley,G-F,187.96,77.11
Geoff Huston,G,187.96,79.38
Paul Huston,F,190.5,79.38
Mel Hutchins,F-C,198.12,90.72
Chandler Hutchison,G,200.66,88.9
Joe Hutton,G,185.42,77.11
Greg Hyder,F,198.12,97.52
Charles O'Bannon,G-F,195.58,94.8
Ed O'Bannon,F,203.2,100.7
John O'Boyle,G,187.96,83.91
Bob O'Brien,F,193.04,86.18
J.J. O'Brien,F,200.66,103.42
Jim O'Brien,F,200.66,90.72
Jimmy O'Brien,G,185.42,77.11
Ralph O'Brien,G,175.26,72.57
Johnny O'Bryant,F-C,205.74,116.57
Patrick O'Bryant,C,213.36,117.93
Dermie O'Connell,G,182.88,78.93
Andy O'Donnell,G,185.42,81.65
Buddy O'Grady,G,180.34,72.57
Fran O'Hanlon,G,185.42,79.38
Dick O'Keefe,G-F,187.96,83.91
Tommy O'Keefe,G,187.96,83.91
Mike O'Koren,G-F,200.66,93.89
Grady O'Malley,F,195.58,92.99
Jermaine O'Neal,F-C,210.82,102.51
Shaquille O'Neal*,C,215.9,147.42
Royce O'Neale,F,193.04,102.51
Mike O'Neill,F,190.5,95.25
Kyle O'Quinn,F-C,205.74,113.4
Kevin O'Shea,G,187.96,79.38
Garland O'Shields,G-F,185.42,88.45
Dan O'Sullivan,C,208.28,113.4
Charles Oakley,F-C,203.2,102.06
Fabricio Oberto,F-C,208.28,111.13
Daniel Ochefu,C,210.82,111.13
Greg Oden,C,213.36,113.4
Lamar Odom,F,208.28,99.79
Bud Ogden,F,198.12,97.52
Ralph Ogden,F,195.58,92.99
Alan Ogg,C,218.44,108.86
Don Ohl,G,190.5,86.18
Tim Ohlbrecht,C,210.82,115.67
Semi Ojeleye,F,198.12,106.59
Emeka Okafor,F-C,208.28,114.31
Jahlil Okafor,F-C,208.28,124.74
Elie Okobo,G,190.5,86.18
Josh Okogie,G,193.04,96.16
KZ Okpala,F,203.2,97.52
Mehmet Okur,F-C,210.82,112.94
Victor Oladipo,G,193.04,95.25
Hakeem Olajuwon*,C,213.36,115.67
Mark Olberding,F,203.2,102.06
Jawann Oldham,C,213.36,97.52
John Oldham,G,190.5,79.38
Frank Oleynick,G,187.96,83.91
John Olive,F,200.66,95.25
Brian Oliver,G,193.04,95.25
Dean Oliver,G,180.34,81.65
Jimmy Oliver,G-F,195.58,92.99
Kevin Ollie,G,193.04,88.45
Gene Ollrich,G,180.34,72.57
Michael Olowokandi,C,213.36,122.02
Bud Olsen,F-C,203.2,99.79
Kelly Olynyk,F-C,210.82,108.86
Miye Oni,G,195.58,93.44
Arinze Onuaku,C,205.74,115.67
Chinanu Onuaku,F-C,208.28,111.13
Barry Orms,G,190.5,86.18
Johnny Orr,F,190.5,88.45
Louis Orr,F,203.2,79.38
José Ortiz,F,208.28,102.06
Daniel Orton,F-C,208.28,115.67
Chuck Osborne,F,198.12,95.25
Cedi Osman,F,200.66,97.52
Wally Osterkorn,F-C,195.58,97.52
Greg Ostertag,C,218.44,127.01
Matt Othick,G,187.96,74.84
Don Otten,C,208.28,108.86
Mac Otten,F-C,200.66,99.79
Kelly Oubre,F,200.66,92.99
Bo Outlaw,F,203.2,95.25
Travis Outlaw,F,205.74,95.25
Claude Overton,G,187.96,88.45
Doug Overton,G,190.5,86.18
Andre Owens,G,193.04,90.72
Billy Owens,G-F,203.2,99.79
Chris Owens,F,200.66,111.13
Eddie Owens,F,200.66,95.25
Jim Owens,F,195.58,90.72
Keith Owens,F,200.66,102.06
Larry Owens,F,200.66,95.25
Red Owens,G-F,190.5,83.91
Tariq Owens,F,208.28,92.99
Tom Owens,F-C,208.28,97.52
Ray Owes,F,205.74,101.6
Olumide Oyedeji,C,208.28,108.86
Dean Wade,F,205.74,103.42
Dwyane Wade,G,193.04,99.79
Mark Wade,G,180.34,72.57
Von Wafer,G,195.58,95.25
Clint Wager,F-C,198.12,95.25
Dajuan Wagner,G,187.96,90.72
Danny Wagner,G,182.88,77.11
Milt Wagner,G,195.58,83.91
Moritz Wagner,F-C,210.82,111.13
Phillip Wagner,G,187.96,86.18
Dion Waiters,G,190.5,97.52
Granville Waiters,C,210.82,102.06
Andre Wakefield,G,190.5,79.38
Neal Walk,C,208.28,99.79
Andy Walker,G,193.04,86.18
Antoine Walker,F,203.2,101.6
Brady Walker,F-C,198.12,92.99
Chet Walker*,G-F,198.12,96.16
Darrell Walker,G,193.04,81.65
Foots Walker,G,182.88,83.46
Henry Walker,F,198.12,99.79
Horace Walker,F,190.5,95.25
Jimmy Walker,G,190.5,88.45
Kemba Walker,G,182.88,78.02
Kenny Walker,F,203.2,95.25
Lonnie Walker,G,195.58,92.99
Phil Walker,G,190.5,81.65
Samaki Walker,F,205.74,108.86
Wally Walker,F,200.66,86.18
John Wall,G,193.04,95.25
Ben Wallace,F-C,205.74,108.86
Gerald Wallace,F,200.66,97.52
John Wallace,F,203.2,102.06
Rasheed Wallace,F-C,208.28,102.06
Red Wallace,G,185.42,83.91
Tyrone Wallace,G,195.58,89.81
Dwight Waller,F,198.12,99.79
Jamie Waller,G,193.04,97.52
Taurean Waller-Prince,F,200.66,98.88
Jim Walsh,F,193.04,88.45
Matt Walsh,G-F,198.12,92.99
Rex Walters,G,193.04,86.18
Paul Walther,G-F,187.96,72.57
Isaac Walthour,G,180.34,73.94
Bill Walton*,F-C,210.82,95.25
Derrick Walton,G,182.88,85.73
Lloyd Walton,G,182.88,72.57
Luke Walton,F,203.2,106.59
Brad Wanamaker,G,190.5,95.25
Bobby Wanzer*,G,182.88,77.11
Perry Warbington,G,187.96,74.84
Charlie Ward,G,187.96,86.18
Gerry Ward,G,193.04,88.45
Henry Ward,G-F,193.04,88.45
Casper Ware,G,177.8,79.38
Jim Ware,F,200.66,95.25
Ben Warley,G-F,195.58,90.72
Bob Warlick,G-F,195.58,90.72
Cornell Warner,F-C,205.74,99.79
Jameel Warney,F,203.2,117.93
Bob Warren,G,195.58,86.18
John Warren,G-F,190.5,81.65
T.J. Warren,F,203.2,97.52
Willie Warren,G,193.04,92.08
Bryan Warrick,G,195.58,88.45
Hakim Warrick,F,205.74,99.34
Chris Washburn,C,210.82,102.06
Julian Washburn,F,203.2,95.25
Bobby Washington,G,180.34,79.38
Darius Washington,G,187.96,88.45
Donald Washington,F,203.2,95.25
Duane Washington,G,193.04,88.45
Eric Washington,G,193.04,86.18
Jim Washington,F-C,198.12,95.25
Kermit Washington,F-C,203.2,104.33
P.J. Washington,F,200.66,107.05
Pearl Washington,G,187.96,86.18
Richard Washington,F-C,210.82,99.79
Stan Washington,G,193.04,86.18
Trooper Washington,F-C,200.66,97.52
Wilson Washington,F-C,205.74,102.97
Yuta Watanabe,F,203.2,92.99
Tremont Waters,G,177.8,79.38
Darryl Watkins,C,210.82,117.03
Bobby Watson,G,182.88,72.57
C.J. Watson,G,187.96,79.38
Earl Watson,G,185.42,88.45
Jamie Watson,F,200.66,86.18
Paul Watson,G,200.66,97.52
Ron Watts,F,198.12,95.25
Samuel Watts,G,190.5,83.91
Slick Watts,G,185.42,79.38
Maalik Wayns,G,187.96,90.72
David Wear,F,208.28,104.33
Travis Wear,F,208.28,104.33
Clarence Weatherspoon,F,198.12,108.86
Nick Weatherspoon,F,200.66,88.45
Quinndary Weatherspoon,G,190.5,93.89
Kyle Weaver,G,198.12,91.17
James Webb,F,205.74,91.63
Jeff Webb,G,193.04,77.11
Marcus Webb,F-C,205.74,115.67
Spud Webb,G,167.64,60.33
Chris Webber,F-C,205.74,111.13
Briante Weber,G,187.96,74.84
Jake Weber,C,198.12,102.06
Elnardo Webster,F,195.58,86.18
Jeff Webster,F,203.2,105.23
Martell Webster,G-F,200.66,104.33
Marvin Webster,C,215.9,102.06
Scott Wedman,G-F,200.66,97.52
Sonny Weems,G-F,198.12,92.99
Dick Wehr,F,193.04,81.65
Brant Weidner,F,205.74,104.33
Bob Weiss,G,187.96,81.65
Rick Weitzman,G,187.96,79.38
Bonzi Wells,G-F,195.58,95.25
Bubba Wells,F,195.58,104.33
Owen Wells,F,200.66,90.72
Ralph Wells,G,185.42,81.65
Chris Welp,C,213.36,111.13
Jiří Welsch,G,200.66,94.35
Thomas Welsh,C,213.36,115.67
Bill Wennington,C,213.36,111.13
Matt Wenstrom,C,215.9,113.4
Robert Werdann,C,210.82,113.4
David Wesley,G,182.88,86.18
Walt Wesley,C,210.82,99.79
David West,F-C,205.74,113.4
Delonte West,G,193.04,81.65
Doug West,G-F,198.12,90.72
Jerry West*,G,187.96,79.38
Mario West,G,195.58,95.25
Mark West,F-C,208.28,104.33
Roland West,G,193.04,80.74
Dexter Westbrook,F,203.2,86.18
Russell Westbrook,G,190.5,90.72
Paul Westphal*,G,193.04,88.45
John Wetzel,G-F,195.58,86.18
Robert Whaley,C,208.28,117.93
Ennis Whatley,G,190.5,80.29
DeJuan Wheat,G,182.88,74.84
Clinton Wheeler,G,185.42,83.91
Tyson Wheeler,G,177.8,74.84
Skippy Whitaker,G,185.42,81.65
Andrew White,G,200.66,95.25
Coby White,G,193.04,83.91
D.J. White,F,205.74,113.85
Derrick White,G,193.04,86.18
Eric White,F,203.2,90.72
Herb White,G,187.96,88.45
Hubie White,G-F,193.04,92.99
Jahidi White,F-C,205.74,131.54
James White,G-F,200.66,90.72
Jo Jo White*,G,190.5,86.18
Okaro White,F,203.2,92.99
Randy White,F,203.2,108.86
Rodney White,F,205.74,107.95
Rory White,F,203.2,95.25
Royce White,F,203.2,122.47
Rudy White,G,187.96,88.45
Tony White,G,187.96,77.11
Willie White,G,190.5,88.45
Isaiah Whitehead,G,193.04,96.62
Jerome Whitehead,F-C,208.28,99.79
Donald Whiteside,G,177.8,72.57
Hassan Whiteside,C,213.36,106.59
Dwayne Whitfield,F,205.74,108.86
Chris Whitney,G,182.88,76.2
Hank Whitney,F-C,200.66,104.33
Hawkeye Whitney,G-F,195.58,106.59
Shayne Whittington,F-C,210.82,113.4
Sidney Wicks,F-C,203.2,102.06
Ron Widby,F,193.04,95.25
Murray Wier,G,175.26,70.31
Bob Wiesenhahn,F,193.04,97.52
Andrew Wiggins,G-F,200.66,88.0
Mitchell Wiggins,G,193.04,83.91
Ken Wilburn,F,198.12,88.45
C.J. Wilcox,G,195.58,88.45
Chris Wilcox,F,208.28,100.24
D.C. Wilcutt,G,187.96,74.84
Gene Wiley,C,208.28,95.25
Jacob Wiley,F,200.66,97.52
Michael Wiley,F,205.74,90.72
Morlon Wiley,G,193.04,83.91
Win Wilfong,G-F,187.96,83.91
Lenny Wilkens*,G,185.42,81.65
Bob Wilkerson,G-F,198.12,88.45
Jamaal Wilkes*,G-F,198.12,86.18
James Wilkes,F,200.66,88.45
Damien Wilkins,G-F,198.12,102.06
Dominique Wilkins*,G-F,203.2,97.52
Eddie Lee Wilkins,F-C,208.28,99.79
Gerald Wilkins,G-F,198.12,83.91
Jeff Wilkins,F-C,210.82,104.33
Dale Wilkinson,F,208.28,99.79
Mike Wilks,G,177.8,83.91
Aaron Williams,F-C,205.74,99.79
Al Williams,F,198.12,90.72
Alan Williams,F-C,203.2,120.2
Alvin Williams,G,195.58,83.91
Art Williams,G,185.42,81.65
Bernie Williams,G,190.5,79.38
Bob Williams,F,198.12,104.33
Brandon Williams,G,198.12,97.52
Buck Williams,F-C,203.2,97.52
C.J. Williams,G,195.58,102.51
Charles Williams,G,182.88,74.84
Chuck Williams,G,187.96,79.38
Chuckie Williams,G,190.5,81.65
Cliff Williams,G,190.5,81.65
Corey Williams,G,187.96,86.18
Deron Williams,G,190.5,90.72
Derrick Williams,F,203.2,108.86
Duck Williams,G,187.96,81.65
Earl Williams,F-C,200.66,104.33
Elliot Williams,G,195.58,86.18
Eric Williams,F,203.2,99.79
Fly Williams,G-F,195.58,90.72
Frank Williams,G,190.5,96.16
Freeman Williams,G-F,193.04,86.18
Gene Williams,F,200.66,106.59
Grant Williams,F,198.12,107.05
Gus Williams,G,187.96,79.38
Guy Williams,F,205.74,90.72
Hank Williams,F,195.58,95.25
Herb Williams,F-C,208.28,109.77
Hot Rod Williams,F-C,210.82,97.52
Jason Williams,G,185.42,86.18
Jawad Williams,F,205.74,98.88
Jay Williams,G,187.96,88.45
Jayson Williams,F-C,205.74,108.86
Jerome Williams,F,205.74,93.44
John Williams,F-C,203.2,106.59
Johnathan Williams,F,205.74,103.42
Jordan Williams,F,208.28,117.93
Justin Williams,F,208.28,102.06
Kenny Williams,F,205.74,92.99
Kenrich Williams,G-F,198.12,95.25
Kevin Williams,G,187.96,79.38
Lorenzo Williams,F-C,205.74,90.72
Lou Williams,G,185.42,79.38
Marcus Williams,G,190.5,92.99
Marcus Williams,F,200.66,92.99
Marvin Williams,F,203.2,107.5
Matt Williams,G,195.58,95.25
Micheal Williams,G,187.96,79.38
Mike Williams,F,203.2,115.67
Milt Williams,G,187.96,82.55
Mo Williams,G,185.42,89.81
Monty Williams,F,203.2,102.06
Nate Williams,G-F,195.58,97.52
Pete Williams,F,200.66,86.18
Ray Williams,G,190.5,85.28
Reggie Williams,G-F,200.66,86.18
Reggie Williams,F,198.12,92.99
Rickey Williams,G,185.42,79.38
Rob Williams,G,187.96,79.38
Robert Williams,F-C,203.2,107.5
Ron Williams,G,190.5,85.28
Sam Williams,G,190.5,81.65
Sam Williams,F,203.2,95.25
Scott Williams,F-C,208.28,104.33
Sean Williams,F-C,208.28,106.59
Shammond Williams,G,185.42,91.17
Shawne Williams,F,205.74,102.06
Shelden Williams,F,205.74,113.4
Sly Williams,G-F,200.66,95.25
Terrence Williams,F,198.12,99.79
Travis Williams,F,198.12,97.52
Troy Williams,F,200.66,98.88
Walt Williams,G-F,203.2,99.34
Ward Williams,F,193.04,88.45
Willie Williams,F,200.66,90.72
Nigel Williams-Goss,G,187.96,86.18
Corliss Williamson,F,200.66,111.13
John Williamson,G,187.96,83.91
Zion Williamson,F-C,198.12,129.27
Vann Williford,F,198.12,88.45
Kevin Willis,F-C,213.36,99.79
Bill Willoughby,F-C,203.2,92.99
Dedric Willoughby,G-F,190.5,81.65
Bob Wilson,G,193.04,83.91
Bobby Wilson,F,203.2,97.52
Bobby Wilson,G,190.5,79.38
Bubba Wilson,G,190.5,79.38
D.J. Wilson,F,208.28,104.78
George Wilson,C,203.2,102.06
Isaiah Wilson,G,187.96,79.38
Jamil Wilson,F,200.66,104.33
Jasper Wilson,F,198.12,90.72
Jim Wilson,G,177.8,79.38
Michael Wilson,G,193.04,79.38
Nikita Wilson,F,203.2,90.72
Othell Wilson,G,182.88,86.18
Rick Wilson,G,195.58,90.72
Ricky Wilson,G,190.5,88.45
Stephen Wilson,G,195.58,83.91
Trevor Wilson,F,200.66,95.25
Kyle Wiltjer,F,208.28,108.86
Kennard Winchester,G-F,195.58,95.25
Tony Windis,G,185.42,72.57
John Windsor,F,203.2,97.52
Lee Winfield,G,187.96,78.93
David Wingate,G-F,195.58,83.91
Dontonio Wingfield,F,203.2,116.12
Harthorne Wingo,F,198.12,95.25
Marv Winkler,G,185.42,74.39
Justise Winslow,F,198.12,102.06
Rickie Winslow,F,203.2,102.06
Trevor Winter,C,213.36,124.74
Brian Winters,G-F,193.04,83.91
Voise Winters,F,203.2,90.72
Skip Wise,G,187.96,77.11
Willie Wise,F,195.58,95.25
Jeff Withey,C,213.36,104.78
Luke Witte,C,213.36,106.59
Greg Wittman,F,203.2,95.25
Randy Wittman,G-F,198.12,95.25
Garry Witts,G-F,200.66,86.18
Dave Wohl,G,187.96,83.91
Joe Wolf,F-C,210.82,104.33
Rubén Wolkowyski,F,208.28,122.47
Nate Wolters,G,193.04,86.18
Al Wood,G-F,198.12,87.54
Christian Wood,F,208.28,97.07
David Wood,F,205.74,102.97
Howard Wood,F,200.66,106.59
Leon Wood,G,190.5,83.91
Loren Woods,F-C,215.9,111.13
Qyntel Woods,F,203.2,100.24
Randy Woods,G,177.8,83.91
Tommy Woods,F,200.66,95.25
Mike Woodson,G-F,195.58,88.45
Bob Woollard,C,208.28,102.06
Orlando Woolridge,F,205.74,97.52
Haywoode Workman,G,187.96,81.65
Mark Workman,F-C,205.74,97.52
Tom Workman,F-C,200.66,98.88
Metta World Peace,F,198.12,117.93
Willie Worsley,G,175.26,79.38
Sam Worthen,G,195.58,88.45
James Worthy*,F,205.74,102.06
Antoine Wright,G-F,200.66,95.25
Bracey Wright,G,190.5,95.25
Brad Wright,F,210.82,102.06
Brandan Wright,F-C,208.28,95.25
Chris Wright,F,203.2,102.51
Chris Wright,G,185.42,95.25
Delon Wright,G,195.58,83.01
Dorell Wright,G-F,205.74,92.99
Howard Wright,F,203.2,99.79
Howie Wright,G,190.5,83.91
Joby Wright,F-C,203.2,99.79
Julian Wright,F,203.2,102.06
Larry Wright,G,185.42,72.57
Leroy Wright,F,205.74,97.52
Lonnie Wright,G,187.96,92.99
Lorenzen Wright,F-C,210.82,102.06
Luther Wright,C,218.44,122.47
Sharone Wright,F-C,210.82,117.93
Justin Wright-Foreman,G,182.88,86.18
Tony Wroten,G,198.12,92.99
Dennis Wuycik,F,198.12,97.52
A.J. Wynder,G,187.96,81.65
Arvydas Sabonis*,C,220.98,126.55
Domantas Sabonis,F-C,210.82,108.86
Robert Sacre,C,213.36,122.47
Ed Sadowski,C,195.58,108.86
Kenny Sailors,G,177.8,79.38
John Salley,F-C,210.82,104.33
John Salmons,G,200.66,95.25
Al Salvadori,F,205.74,99.79
Kevin Salvadori,C,213.36,104.78
Soumaila Samake,C,213.36,104.33
Luka Šamanić,F,208.28,102.97
Cheikh Samb,C,215.9,111.13
Brandon Sampson,G,195.58,83.46
JaKarr Sampson,G-F,200.66,97.52
Jamal Sampson,F-C,210.82,106.59
Ralph Sampson*,F-C,223.52,103.42
Samardo Samuels,F,205.74,117.93
Pepe Sánchez,G,193.04,88.45
Al Sanders,F,200.66,108.86
Frankie Sanders,G-F,198.12,90.72
Jeff Sanders,F,203.2,102.06
Larry Sanders,F-C,210.82,106.59
Melvin Sanders,G-F,195.58,95.25
Mike Sanders,G-F,198.12,95.25
Tom Sanders*,F,198.12,95.25
Ron Sanford,F,205.74,97.52
Daniel Santiago,C,215.9,116.12
Bob Santini,F,195.58,86.18
Wayne Sappleton,F,205.74,97.52
Dario Šarić,F,208.28,102.06
Jason Sasser,F,200.66,102.06
Jeryl Sasser,G,198.12,90.72
Tomáš Satoranský,G,200.66,89.81
Kenny Satterfield,G,187.96,84.37
Pep Saul,G-F,187.96,83.91
Woody Sauldsberry,F-C,200.66,99.79
Glynn Saulters,G,187.96,79.38
Fred Saunders,F,200.66,95.25
Don Savage,G-F,190.5,92.99
Predrag Savović,G,198.12,102.06
Alan Sawyer,F,195.58,88.45
Brian Scalabrine,F,205.74,109.32
Alex Scales,G,193.04,83.91
DeWayne Scales,F,203.2,94.35
Frank Schade,G,185.42,77.11
Ben Schadler,F,182.88,83.91
Herm Schaefer,G-F,182.88,79.38
Billy Schaeffer,F,195.58,90.72
Bob Schafer,G,190.5,88.45
Ben Scharnus,F,187.96,78.47
Marv Schatzman,F,195.58,90.72
Fred Schaus,F,195.58,92.99
Danny Schayes,F-C,210.82,106.59
Dolph Schayes*,F-C,203.2,99.79
Ossie Schectman,G,182.88,79.38
Steve Scheffler,F-C,205.74,113.4
Tom Scheffler,C,210.82,108.86
Dave Schellhase,G,190.5,92.99
Luke Schenscher,C,215.9,115.67
Herb Scherer,C,205.74,96.16
Dwayne Schintzius,C,215.9,117.93
Dale Schlueter,C,208.28,102.06
Otto Schnellbacher,G-F,193.04,83.91
Dick Schnittker,F,195.58,90.72
Russ Schoene,F-C,208.28,95.25
Admiral Schofield,G-F,195.58,109.32
Dave Scholz,F,203.2,99.79
Milt Schoon,C,200.66,104.33
Detlef Schrempf,F-C,208.28,106.59
Dennis Schröder,G,185.42,78.02
Howie Schultz,F-C,198.12,90.72
Dick Schulz,G-F,187.96,87.09
Roger Schurig,G,190.5,83.91
John Schweitz,G,198.12,95.25
Luis Scola,F,205.74,108.86
Fred Scolari,G,177.8,81.65
Alvin Scott,G-F,200.66,83.91
Brent Scott,F-C,208.28,113.4
Byron Scott,G,190.5,88.45
Charlie Scott*,G-F,195.58,79.38
Dennis Scott,F,203.2,103.87
James Scott,F,198.12,81.65
Mike Scott,F,200.66,107.5
Ray Scott,F-C,205.74,97.52
Shawnelle Scott,C,208.28,113.4
Willie Scott,F,195.58,95.25
Paul Scranton,F,195.58,104.33
Carey Scurry,F,200.66,85.28
Bruce Seals,F,203.2,95.25
Shea Seals,G,195.58,95.25
Malik Sealy,G,203.2,86.18
Ed Searcy,F,198.12,95.25
Kenny Sears,F,205.74,89.81
Wayne See,G,190.5,86.18
Thabo Sefolosha,G-F,198.12,99.79
Rony Seikaly,C,210.82,104.33
Glen Selbo,G-F,190.5,88.9
Josh Selby,G,187.96,83.01
Wayne Selden,G-F,195.58,104.33
Brad Sellers,F-C,213.36,95.25
Phil Sellers,G-F,193.04,88.45
Rollie Seltz,G-F,177.8,74.84
Lester Selvage,G,185.42,79.38
Frank Selvy,G-F,190.5,81.65
Jim Seminoff,G-F,187.96,86.18
Mouhamed Sene,F-C,210.82,104.33
George Senesky,G,187.96,81.19
Kevin Séraphin,F,205.74,129.27
Ansu Sesay,F,205.74,102.06
Ramon Sessions,G,190.5,86.18
Ha Seung-Jin,C,220.98,138.35
Tom Sewell,G,195.58,83.91
Collin Sexton,G,185.42,86.18
Paul Seymour,G-F,185.42,81.65
Nick Shaback,G,180.34,81.65
Lynn Shackelford,F,195.58,86.18
Charles Shackleford,F-C,208.28,102.06
Carl Shaeffer,G-F,190.5,83.91
Lee Shaffer,F,200.66,99.79
Mustafa Shakur,G,190.5,86.18
Landry Shamet,G,193.04,85.28
God Shammgod,G,182.88,76.66
Earl Shannon,G-F,180.34,77.11
Howie Shannon,G-F,187.96,79.38
Chuck Share,C,210.82,106.59
Bill Sharman*,G,185.42,79.38
Walter Sharpe,F,205.74,111.13
John Shasky,C,210.82,106.59
Ron Shavlik,F,203.2,90.72
Brian Shaw,G,198.12,86.18
Casey Shaw,C,210.82,117.93
Marial Shayok,G,195.58,88.9
Bob Shea,F,187.96,88.0
Fred Sheffield,F,187.96,74.84
Craig Shelton,F,200.66,95.25
Lonnie Shelton,F-C,203.2,108.86
Tornike Shengelia,F,205.74,98.43
Billy Shepherd,G,177.8,72.57
Jeff Sheppard,G,190.5,86.18
Steve Sheppard,F,198.12,97.52
Ed Sherod,G,187.96,77.11
Charley Shipp,G-F,185.42,90.72
Paul Shirley,F-C,208.28,104.33
Gene Short,F,198.12,90.72
Purvis Short,G-F,200.66,95.25
Dexter Shouse,G,187.96,90.72
Dick Shrider,G,187.96,86.18
Gene Shue,G,187.96,77.11
John Shumate,F-C,205.74,106.59
Iman Shumpert,G,195.58,97.52
Alexey Shved,G,198.12,86.18
Pascal Siakam,F,205.74,104.33
Jordan Sibert,G,193.04,84.82
Sam Sibert,F,200.66,97.52
Mark Sibley,G,187.96,79.38
Jerry Sichting,G,185.42,76.2
Donald Sidle,F-C,203.2,97.52
Larry Siegfried,F,190.5,86.18
Ralph Siewert,C,215.9,104.33
Jack Sikma*,F-C,210.82,104.33
James Silas,G,185.42,81.65
Paul Silas,F-C,200.66,99.79
Xavier Silas,G,195.58,92.99
Garret Siler,C,210.82,138.35
Mike Silliman,F,198.12,102.06
Chris Silva,F,203.2,104.33
Wayne Simien,F,205.74,115.67
Ben Simmons,G-F,208.28,104.33
Bobby Simmons,G-F,200.66,95.25
Cedric Simmons,F,205.74,106.59
Connie Simmons,F-C,203.2,100.7
Grant Simmons,G,190.5,86.18
Johnny Simmons,G,185.42,83.46
Jonathon Simmons,G-F,198.12,88.45
Kobi Simmons,G,195.58,75.3
Lionel Simmons,G-F,200.66,95.25
Miles Simon,G,190.5,91.63
Walter Simon,G-F,198.12,90.72
Anfernee Simons,G,190.5,82.1
Dickey Simpkins,F,205.74,112.49
Ralph Simpson,G-F,195.58,90.72
Alvin Sims,G,193.04,106.59
Bob Sims,G-F,195.58,99.79
Courtney Sims,C,208.28,111.13
Doug Sims,F,200.66,88.45
Henry Sims,C,208.28,112.49
Scott Sims,G,185.42,77.11
Kyle Singler,F,203.2,103.42
Sean Singletary,G,182.88,83.91
Chris Singleton,F,203.2,104.33
James Singleton,F,203.2,97.98
McKinley Singleton,G,195.58,79.38
Zeke Sinicola,G,177.8,74.84
Charlie Sitton,F,203.2,95.25
Peyton Siva,G,182.88,83.91
Scott Skiles,G,185.42,81.65
Al Skinner,G,190.5,86.18
Brian Skinner,F,205.74,115.67
Tal Skinner,G-F,195.58,88.45
Whitey Skoog,G,180.34,81.65
Jeff Slade,F,198.12,99.79
Reggie Slater,F,200.66,97.52
Jim Slaughter,C,210.82,95.25
Jose Slaughter,G,195.58,92.99
Tamar Slay,G,203.2,97.52
Donald Sloan,G,190.5,92.99
Jerry Sloan*,G-F,195.58,88.45
Uroš Slokar,F,208.28,107.95
Tom Sluby,G,193.04,90.72
Alen Smailagić,F,208.28,97.52
Keith Smart,G,185.42,79.38
Marcus Smart,G,190.5,102.97
Belus Smawley,G-F,185.42,88.45
Jack Smiley,G-F,190.5,86.18
Adrian Smith,G,185.42,81.65
Al Smith,G,185.42,83.91
Bill Smith,G-F,195.58,86.18
Bingo Smith,G-F,195.58,88.45
Bobby Smith,G,193.04,86.18
Charles Smith,F-C,208.28,104.33
Charles Smith,G,185.42,72.57
Charles Smith,G,193.04,88.0
Chris Smith,G,190.5,86.18
Chris Smith,G,187.96,90.72
Clinton Smith,F,198.12,95.25
Craig Smith,F,200.66,113.4
Deb Smith,F,190.5,81.65
Dennis Smith,G,187.96,88.45
Derek Smith,G-F,198.12,92.99
Don Smith,G-F,187.96,86.18
Don Smith,G,182.88,72.57
Donta Smith,G-F,200.66,97.52
Doug Smith,F,208.28,99.79
Ed Smith,F,198.12,81.65
Elmore Smith,C,213.36,113.4
Garfield Smith,F-C,205.74,106.59
Greg Smith,F,195.58,88.45
Greg Smith,C,208.28,113.4
Ish Smith,G,182.88,79.38
J.R. Smith,G-F,198.12,102.06
Jabari Smith,C,210.82,113.4
Jason Smith,F-C,213.36,108.86
Jerry Smith,G,187.96,86.18
Jim Smith,F,205.74,102.06
Joe Smith,F,208.28,102.06
John Smith,C,213.36,106.59
Josh Smith,F,205.74,102.06
Keith Smith,G,190.5,81.65
Ken Smith,F,200.66,83.91
Kenny Smith,G,190.5,77.11
LaBradford Smith,G,190.5,90.72
Larry Smith,F-C,203.2,97.52
Leon Smith,C,208.28,106.59
Michael Smith,F,208.28,102.06
Michael Smith,F,203.2,104.33
Mike Smith,F,203.2,88.45
Nolan Smith,G,187.96,83.91
Otis Smith,G-F,195.58,95.25
Pete Smith,F,198.12,92.99
Phil Smith,G,193.04,83.91
Randy Smith,G-F,190.5,81.65
Reggie Smith,C,208.28,108.86
Robert Smith,G,180.34,74.84
Russ Smith,G,182.88,74.84
Sam Smith,F,200.66,104.33
Sam Smith,G,193.04,90.72
Steve Smith,G,200.66,90.72
Steven Smith,F,203.2,106.59
Stevin Smith,G,187.96,94.35
Theron Smith,F,203.2,102.06
Tony Smith,G,190.5,83.91
William Smith,C,213.36,99.79
Willie Smith,G,187.96,77.11
Zhaire Smith,G,190.5,90.26
Rik Smits,C,223.52,113.4
Mike Smrek,C,213.36,113.4
Joe Smyth,F,190.5,97.52
Tony Snell,G-F,198.12,96.62
Eric Snow,G,190.5,86.18
Dick Snyder,G-F,195.58,93.89
